Date,Open,High,Low,Close,Volume
22-07-2022,2934.2,2934.2,2878.66,2906.43,54461200
25-07-2022,2915.68,2924.94,2878.66,2878.66,30750600
26-07-2022,2897.17,2971.22,2887.91,2961.96,58317600
27-07-2022,2980.48,3008.24,2961.96,2998.99,87439200
28-07-2022,2971.22,3036.01,2971.22,2980.48,94427400
29-07-2022,3045.27,3091.55,3017.5,3063.78,132709400
01-08-2022,3036.01,3045.27,2952.71,2952.71,95909000
02-08-2022,2961.96,3026.76,2952.71,3026.76,57458200
03-08-2022,3026.76,3054.53,2980.48,3054.53,55822800
04-08-2022,3073.04,3073.04,3017.5,3054.53,75188600
05-08-2022,3063.78,3073.04,3026.76,3054.53,64150800
08-08-2022,3054.52,3091.55,3045.27,3091.55,82522000
09-08-2022,3119.32,3184.11,3110.06,3137.83,117148200
10-08-2022,3091.55,3184.11,3054.53,3184.11,79950200
11-08-2022,3193.37,3211.88,3119.32,3156.34,106627400
12-08-2022,3156.34,3174.85,3119.32,3137.83,62626200
15-08-2022,3128.57,3165.6,3110.06,3128.57,44464800
16-08-2022,3165.6,3202.62,3137.83,3156.34,109260400
18-08-2022,3248.9,3258.16,3174.85,3184.11,116693200
19-08-2022,3184.11,3202.62,3147.09,3147.09,48290200
22-08-2022,3119.32,3165.6,3091.55,3156.34,121399800
23-08-2022,3147.09,3211.88,3128.57,3193.37,95553400
24-08-2022,3184.11,3221.14,3165.6,3193.37,60958200
25-08-2022,3165.6,3193.37,3119.32,3174.85,77254800
26-08-2022,3193.37,3202.62,3147.09,3147.09,82356600
29-08-2022,3110.06,3184.11,3091.55,3165.6,62683800
30-08-2022,3193.37,3239.65,3174.85,3202.62,109649400
31-08-2022,3147.09,3276.67,3128.57,3276.67,151631600
01-09-2022,3276.67,3313.7,3211.88,3304.44,120967800
02-09-2022,3322.95,3332.21,3230.39,3276.67,90044600
05-09-2022,3276.67,3332.21,3258.16,3313.7,60491000
06-09-2022,3322.95,3332.21,3258.16,3267.42,65296200
07-09-2022,3248.9,3285.93,3230.39,3285.93,97771400
08-09-2022,3295.18,3369.23,3267.42,3313.7,96931000
09-09-2022,3359.98,3369.23,3313.7,3359.98,128510800
